q_id,doc_id,Gender,Name,NumSeasons,AvgPER,CareerPoints
1,489,male,Tom Henderson,11,12.86,7063
1,490,male,George Hill,9,15.62,7039
1,491,male,John Mengelt,12,12.4,6985
1,492,male,Earl Boykins,19,15.98,6955
1,493,male,Antonio Daniels,15,13.71,6923
1,494,male,Eric Money,10,12.79,6898
1,495,female,Candice Dupree,16,18.04,6895
1,496,male,Brandon Knight,8,14.16,6890
1,497,male,Mike Riordan,11,10.1,6884
1,498,male,Curtis Rowe,8,12.22,6873
1,499,male,Kent Benson,13,13.53,6866
1,500,male,Todd Day,10,13.16,6839
1,501,male,Ronald Murray,16,10.97,6837
1,502,male,Roy Hibbert,11,15.3,6832
1,503,male,Eric Williams,18,11.36,6832
1,504,male,Eddy Curry,11,10.57,6820
1,505,male,Andrew Bogut,14,11.61,6812
1,506,female,Cappie Pondexter,13,17.88,6811
1,507,female,Sue Bird,19,17.25,6803
1,508,male,Zaza Pachulia,14,14.04,6774
1,509,male,Harry Gallatin*,7,21.44,6761
1,510,male,Evan Turner,9,12.07,6750
1,511,male,McCoy McLemore,14,11.97,6749
1,512,male,Kevin Edwards,13,11.76,6746
1,513,male,Raef LaFrentz,12,15.59,6741
1,514,male,John Shumate,14,13.07,6724
1,515,male,Allen Leavell,10,13.81,6684
1,516,male,Dennis Rodman*,14,13.96,6683
1,517,male,Tom Hawkins,10,10.76,6672
1,518,male,Bryon Russell,13,12.36,6663
1,519,male,Steve Hawes,14,13.21,6653
1,520,male,Scott Skiles,10,12.66,6652
1,521,male,Caldwell Jones,14,9.9,6589
1,522,male,Brandon Bass,12,14.65,6575
1,523,male,Tom McMillen,13,12.28,6558
1,524,male,Tony Allen,13,14.31,6551
1,525,male,Bill Robinzine,9,13.64,6544
1,526,male,Pat Cummings,12,12.92,6529
1,527,male,Tony Delk,16,13.28,6517
1,528,male,Kawhi Leonard,6,21.32,6508
1,529,male,Bob Weiss,14,11.48,6495
1,530,male,Albert King,9,13.0,6470
1,531,male,Darrell Walker,12,11.56,6469
1,532,male,Don Chaney,13,10.1,6462
1,533,male,Henry Bibby,11,13.1,6452
1,534,female,Katie Smith,15,15.47,6452
1,535,male,Alton Lister,18,10.74,6441
1,536,male,Danny Ferry,13,11.28,6439
1,537,female,Sylvia Fowles,15,25.07,6415
1,538,female,Candace Parker,15,24.46,6412
1,539,male,Chris Mills,10,13.0,6357
1,540,male,Jack Coleman,9,15.5,6324
1,541,male,Rasual Butler,15,10.34,6314
1,542,male,Ron Boone,7,11.06,6288
1,543,male,Andres Nocioni,10,11.56,6282
1,544,female,Lisa Leslie,12,24.26,6263
1,545,male,Mark Blount,13,11.56,6256
1,546,male,Bob Sura,12,14.22,6250
1,547,male,Tree Rollins,18,11.93,6249
1,548,male,Brendan Haywood,15,14.19,6242
1,549,male,Trent Tucker,11,12.89,6236
1,550,male,Jeff McInnis,13,12.17,6224
1,551,male,Chris Wilcox,15,14.85,6223
1,552,male,Butch Beard,11,14.24,6222
1,553,male,Earl Watson,15,11.65,6216
1,554,male,Marco Belinelli,10,11.71,6209
1,555,male,Phil Jordon,11,14.05,6209
1,556,male,Jimmy Butler,6,18.15,6208
1,557,male,Clyde Lee,12,11.87,6204
1,558,male,Kris Humphries,18,14.45,6180
1,559,male,DeAndre Jordan,9,17.42,6151
1,560,male,Brandon Roy,6,17.48,6136
1,561,male,Phil Ford,9,11.99,6118
1,562,male,Hubert Davis,16,8.45,6111
1,563,male,Markieff Morris,8,13.7,6103
1,564,male,Larry Siegfried,11,11.91,6078
1,565,male,Bob Kauffman,7,15.31,6049
1,566,male,Joe Meriweather,12,12.31,6049
1,567,male,Reggie Jackson,8,15.74,6036
1,568,female,Lauren Jackson,12,26.62,6005
1,569,male,J.J. Barea,11,13.69,5977
1,570,male,Tyronn Lue,17,11.84,5970
1,571,male,Greg Smith,17,9.67,5965
1,572,male,Bryant Stith,10,12.29,5946
1,573,male,Swen Nater,8,15.26,5943
1,574,male,Brevin Knight,17,13.58,5936
1,575,male,Jim Cleamons,11,12.29,5931
1,576,male,Quinn Buckner,10,12.58,5929
1,577,male,Cliff Levingston,11,13.4,5888
1,578,male,Othella Harrington,14,11.51,5877
1,579,male,Hakim Warrick,12,15.68,5874
1,580,male,Fred Hetzel,8,14.45,5869
1,581,male,Mario Chalmers,10,13.11,5864
1,582,male,Darnell Valentine,11,13.56,5856
1,583,male,M.L. Carr,9,12.29,5853
1,584,male,Marreese Speights,11,16.9,5848
1,585,male,Ollie Johnson,12,12.67,5842
1,586,female,Becky Hammon,15,19.35,5839
1,587,male,Dave Robisch,15,11.83,5832
1,588,male,Clifford Ray,10,13.7,5821
1,589,male,Nikola Vucevic,6,18.77,5807
1,590,male,Derek Smith,11,13.75,5800
1,591,male,Howard Eisley,18,9.93,5797
1,592,female,Angel McCoughtry,11,23.15,5797
1,593,male,Jim Barnes,13,12.21,5785
1,594,male,Lucious Harris,12,12.43,5784
1,595,male,Bob Ferry,10,13.09,5780
