0.41 ± 0.04,0.46 ± 0.05,0.41 ± 0.04,0.41 ± 0.04,0.41 ± 0.04,0.40 ± 0.05,0.46 ± 0.06,0.42 ± 0.04,0.42 ± 0.04,0.42 ± 0.04,0.42 ± 0.04,0.47 ± 0.06,0.44 ± 0.05,0.45 ± 0.05,0.44 ± 0.05,0.45 ± 0.05,0.46 ± 0.06,0.44 ± 0.09,0.43 ± 0.09,0.43 ± 0.09,0.43 ± 0.09,0.46 ± 0.08,0.41 ± 0.04,0.40 ± 0.05,0.41 ± 0.04,0.40 ± 0.04,0.45 ± 0.06,0.41 ± 0.04,0.41 ± 0.04,0.41 ± 0.04,0.41 ± 0.04,0.44 ± 0.06,0.40 ± 0.04,0.41 ± 0.04,0.38 ± 0.03,0.39 ± 0.05,0.48 ± 0.06,0.25 ± 0.13,0.45 ± 0.07,0.43 ± 0.05,0.41 ± 0.13,0.42 ± 0.04,0.28 ± 0.18,0.43 ± 0.06,0.40 ± 0.10,0.42 ± 0.06,0.41 ± 0.10,0.39 ± 0.11,0.44 ± 0.06,0.43 ± 0.05,0.45 ± 0.05,0.45 ± 0.05,0.38 ± 0.11,0.43 ± 0.07,0.43 ± 0.07,0.44 ± 0.07,0.42 ± 0.06,0.31 ± 0.16,0.42 ± 0.12,0.40 ± 0.10,0.43 ± 0.04,0.36 ± 0.16,0.27 ± 0.19,0.42 ± 0.06,0.41 ± 0.08,0.42 ± 0.08,0.45 ± 0.08
0.39 ± 0.04,0.44 ± 0.05,0.39 ± 0.04,0.39 ± 0.04,0.39 ± 0.04,0.39 ± 0.05,0.44 ± 0.06,0.40 ± 0.04,0.40 ± 0.04,0.40 ± 0.04,0.40 ± 0.04,0.45 ± 0.05,0.42 ± 0.05,0.43 ± 0.05,0.42 ± 0.05,0.42 ± 0.05,0.44 ± 0.05,0.42 ± 0.08,0.41 ± 0.08,0.42 ± 0.08,0.41 ± 0.08,0.44 ± 0.07,0.39 ± 0.04,0.38 ± 0.04,0.39 ± 0.04,0.38 ± 0.04,0.43 ± 0.05,0.38 ± 0.04,0.39 ± 0.04,0.39 ± 0.04,0.39 ± 0.04,0.43 ± 0.05,0.38 ± 0.04,0.39 ± 0.05,0.36 ± 0.03,0.37 ± 0.05,0.45 ± 0.05,0.24 ± 0.13,0.43 ± 0.07,0.41 ± 0.05,0.39 ± 0.12,0.41 ± 0.04,0.27 ± 0.17,0.41 ± 0.05,0.38 ± 0.09,0.40 ± 0.06,0.39 ± 0.09,0.37 ± 0.10,0.42 ± 0.06,0.41 ± 0.05,0.43 ± 0.04,0.43 ± 0.05,0.37 ± 0.11,0.41 ± 0.07,0.41 ± 0.07,0.42 ± 0.07,0.41 ± 0.05,0.30 ± 0.15,0.40 ± 0.12,0.39 ± 0.09,0.41 ± 0.04,0.35 ± 0.15,0.26 ± 0.18,0.40 ± 0.06,0.39 ± 0.07,0.40 ± 0.08,0.43 ± 0.08
0.38 ± 0.04,0.42 ± 0.05,0.38 ± 0.04,0.38 ± 0.04,0.38 ± 0.04,0.38 ± 0.04,0.43 ± 0.06,0.39 ± 0.04,0.39 ± 0.04,0.39 ± 0.04,0.39 ± 0.04,0.43 ± 0.05,0.41 ± 0.05,0.41 ± 0.05,0.41 ± 0.05,0.41 ± 0.05,0.43 ± 0.05,0.40 ± 0.08,0.40 ± 0.08,0.40 ± 0.08,0.40 ± 0.08,0.43 ± 0.07,0.38 ± 0.04,0.38 ± 0.04,0.38 ± 0.04,0.38 ± 0.04,0.42 ± 0.05,0.38 ± 0.04,0.38 ± 0.04,0.38 ± 0.04,0.38 ± 0.04,0.41 ± 0.05,0.38 ± 0.04,0.38 ± 0.04,0.36 ± 0.03,0.37 ± 0.05,0.44 ± 0.05,0.23 ± 0.13,0.41 ± 0.07,0.39 ± 0.05,0.39 ± 0.10,0.39 ± 0.04,0.26 ± 0.16,0.39 ± 0.05,0.37 ± 0.09,0.39 ± 0.05,0.38 ± 0.09,0.36 ± 0.10,0.41 ± 0.06,0.40 ± 0.05,0.41 ± 0.04,0.42 ± 0.05,0.36 ± 0.10,0.40 ± 0.07,0.40 ± 0.06,0.41 ± 0.07,0.39 ± 0.05,0.28 ± 0.15,0.39 ± 0.11,0.38 ± 0.09,0.40 ± 0.04,0.34 ± 0.14,0.25 ± 0.17,0.39 ± 0.06,0.38 ± 0.07,0.39 ± 0.08,0.41 ± 0.08
0.36 ± 0.04,0.41 ± 0.05,0.36 ± 0.04,0.36 ± 0.04,0.36 ± 0.04,0.36 ± 0.04,0.41 ± 0.05,0.37 ± 0.04,0.37 ± 0.04,0.37 ± 0.04,0.38 ± 0.04,0.42 ± 0.05,0.39 ± 0.05,0.40 ± 0.05,0.39 ± 0.05,0.39 ± 0.05,0.41 ± 0.05,0.39 ± 0.08,0.38 ± 0.08,0.38 ± 0.08,0.38 ± 0.08,0.41 ± 0.07,0.37 ± 0.04,0.36 ± 0.04,0.37 ± 0.04,0.36 ± 0.04,0.40 ± 0.05,0.36 ± 0.04,0.37 ± 0.04,0.36 ± 0.04,0.37 ± 0.04,0.40 ± 0.05,0.36 ± 0.04,0.37 ± 0.04,0.34 ± 0.03,0.36 ± 0.04,0.42 ± 0.05,0.22 ± 0.12,0.40 ± 0.06,0.38 ± 0.04,0.37 ± 0.10,0.38 ± 0.04,0.25 ± 0.16,0.38 ± 0.05,0.36 ± 0.08,0.37 ± 0.05,0.36 ± 0.09,0.34 ± 0.10,0.39 ± 0.05,0.38 ± 0.05,0.40 ± 0.04,0.40 ± 0.05,0.34 ± 0.10,0.38 ± 0.07,0.38 ± 0.06,0.39 ± 0.07,0.38 ± 0.05,0.27 ± 0.14,0.37 ± 0.11,0.37 ± 0.07,0.39 ± 0.04,0.32 ± 0.14,0.24 ± 0.17,0.38 ± 0.06,0.36 ± 0.06,0.37 ± 0.07,0.40 ± 0.07
0.35 ± 0.04,0.39 ± 0.04,0.35 ± 0.04,0.35 ± 0.04,0.35 ± 0.04,0.35 ± 0.04,0.40 ± 0.05,0.36 ± 0.04,0.36 ± 0.04,0.36 ± 0.04,0.36 ± 0.03,0.40 ± 0.05,0.38 ± 0.04,0.38 ± 0.05,0.38 ± 0.04,0.38 ± 0.04,0.40 ± 0.05,0.38 ± 0.07,0.37 ± 0.07,0.37 ± 0.07,0.37 ± 0.07,0.39 ± 0.06,0.35 ± 0.04,0.35 ± 0.04,0.35 ± 0.04,0.35 ± 0.04,0.39 ± 0.05,0.35 ± 0.04,0.35 ± 0.04,0.35 ± 0.04,0.35 ± 0.04,0.38 ± 0.05,0.35 ± 0.04,0.35 ± 0.04,0.33 ± 0.03,0.34 ± 0.04,0.40 ± 0.05,0.21 ± 0.12,0.38 ± 0.06,0.37 ± 0.04,0.36 ± 0.09,0.37 ± 0.04,0.24 ± 0.15,0.36 ± 0.05,0.35 ± 0.08,0.36 ± 0.05,0.35 ± 0.08,0.33 ± 0.09,0.37 ± 0.05,0.37 ± 0.05,0.38 ± 0.04,0.39 ± 0.05,0.33 ± 0.09,0.37 ± 0.06,0.37 ± 0.06,0.38 ± 0.06,0.37 ± 0.05,0.26 ± 0.13,0.36 ± 0.11,0.36 ± 0.06,0.38 ± 0.04,0.31 ± 0.13,0.24 ± 0.16,0.36 ± 0.05,0.35 ± 0.06,0.36 ± 0.07,0.38 ± 0.07
0.34 ± 0.04,0.38 ± 0.04,0.34 ± 0.04,0.34 ± 0.03,0.34 ± 0.04,0.34 ± 0.04,0.38 ± 0.05,0.35 ± 0.04,0.35 ± 0.04,0.35 ± 0.04,0.35 ± 0.03,0.39 ± 0.05,0.37 ± 0.04,0.37 ± 0.04,0.37 ± 0.04,0.37 ± 0.04,0.38 ± 0.05,0.36 ± 0.07,0.36 ± 0.07,0.36 ± 0.07,0.36 ± 0.07,0.38 ± 0.06,0.35 ± 0.04,0.34 ± 0.04,0.34 ± 0.04,0.34 ± 0.04,0.38 ± 0.05,0.34 ± 0.04,0.35 ± 0.04,0.34 ± 0.04,0.35 ± 0.04,0.37 ± 0.05,0.34 ± 0.04,0.34 ± 0.04,0.32 ± 0.03,0.34 ± 0.04,0.39 ± 0.05,0.21 ± 0.11,0.37 ± 0.06,0.36 ± 0.04,0.35 ± 0.09,0.36 ± 0.04,0.23 ± 0.15,0.36 ± 0.05,0.34 ± 0.07,0.35 ± 0.05,0.34 ± 0.08,0.32 ± 0.09,0.37 ± 0.05,0.36 ± 0.04,0.37 ± 0.04,0.37 ± 0.05,0.32 ± 0.09,0.36 ± 0.06,0.36 ± 0.06,0.37 ± 0.06,0.36 ± 0.05,0.25 ± 0.13,0.35 ± 0.10,0.35 ± 0.06,0.36 ± 0.04,0.30 ± 0.13,0.23 ± 0.16,0.35 ± 0.05,0.34 ± 0.06,0.35 ± 0.07,0.37 ± 0.07
0.33 ± 0.04,0.36 ± 0.04,0.33 ± 0.04,0.33 ± 0.03,0.33 ± 0.04,0.33 ± 0.04,0.37 ± 0.05,0.34 ± 0.04,0.34 ± 0.04,0.34 ± 0.04,0.34 ± 0.03,0.38 ± 0.05,0.36 ± 0.04,0.36 ± 0.04,0.36 ± 0.04,0.36 ± 0.04,0.37 ± 0.04,0.35 ± 0.07,0.35 ± 0.07,0.35 ± 0.07,0.35 ± 0.07,0.37 ± 0.06,0.33 ± 0.04,0.33 ± 0.04,0.33 ± 0.03,0.33 ± 0.04,0.36 ± 0.04,0.33 ± 0.04,0.33 ± 0.04,0.33 ± 0.04,0.33 ± 0.04,0.36 ± 0.04,0.33 ± 0.04,0.33 ± 0.04,0.31 ± 0.03,0.32 ± 0.04,0.38 ± 0.05,0.20 ± 0.11,0.36 ± 0.05,0.34 ± 0.04,0.34 ± 0.08,0.35 ± 0.04,0.22 ± 0.14,0.34 ± 0.05,0.33 ± 0.07,0.34 ± 0.05,0.33 ± 0.08,0.31 ± 0.09,0.35 ± 0.05,0.35 ± 0.05,0.36 ± 0.04,0.36 ± 0.04,0.31 ± 0.09,0.35 ± 0.06,0.34 ± 0.06,0.36 ± 0.06,0.35 ± 0.05,0.24 ± 0.13,0.34 ± 0.10,0.34 ± 0.06,0.35 ± 0.04,0.29 ± 0.12,0.22 ± 0.15,0.34 ± 0.05,0.33 ± 0.06,0.34 ± 0.07,0.36 ± 0.07
0.32 ± 0.03,0.35 ± 0.04,0.32 ± 0.03,0.32 ± 0.03,0.32 ± 0.03,0.32 ± 0.04,0.36 ± 0.05,0.33 ± 0.04,0.33 ± 0.04,0.33 ± 0.04,0.33 ± 0.03,0.36 ± 0.05,0.34 ± 0.04,0.35 ± 0.04,0.34 ± 0.04,0.35 ± 0.04,0.36 ± 0.04,0.34 ± 0.07,0.34 ± 0.07,0.34 ± 0.07,0.33 ± 0.06,0.36 ± 0.06,0.32 ± 0.03,0.32 ± 0.03,0.32 ± 0.03,0.32 ± 0.03,0.35 ± 0.04,0.32 ± 0.04,0.32 ± 0.03,0.32 ± 0.03,0.32 ± 0.03,0.35 ± 0.04,0.32 ± 0.03,0.32 ± 0.04,0.30 ± 0.02,0.31 ± 0.04,0.36 ± 0.04,0.19 ± 0.11,0.35 ± 0.05,0.33 ± 0.04,0.33 ± 0.08,0.34 ± 0.04,0.22 ± 0.13,0.33 ± 0.05,0.32 ± 0.07,0.33 ± 0.04,0.32 ± 0.08,0.29 ± 0.08,0.34 ± 0.05,0.34 ± 0.05,0.34 ± 0.04,0.35 ± 0.04,0.30 ± 0.08,0.33 ± 0.06,0.33 ± 0.05,0.34 ± 0.06,0.34 ± 0.04,0.23 ± 0.12,0.32 ± 0.10,0.33 ± 0.06,0.34 ± 0.04,0.28 ± 0.12,0.22 ± 0.15,0.33 ± 0.05,0.32 ± 0.06,0.33 ± 0.06,0.34 ± 0.06
0.32 ± 0.03,0.34 ± 0.04,0.31 ± 0.03,0.32 ± 0.03,0.32 ± 0.03,0.31 ± 0.04,0.35 ± 0.04,0.32 ± 0.03,0.32 ± 0.04,0.32 ± 0.03,0.32 ± 0.03,0.35 ± 0.04,0.34 ± 0.04,0.34 ± 0.04,0.34 ± 0.04,0.34 ± 0.04,0.35 ± 0.04,0.33 ± 0.07,0.33 ± 0.06,0.32 ± 0.06,0.33 ± 0.06,0.34 ± 0.06,0.32 ± 0.03,0.31 ± 0.04,0.31 ± 0.03,0.31 ± 0.03,0.34 ± 0.04,0.31 ± 0.04,0.32 ± 0.03,0.32 ± 0.03,0.32 ± 0.03,0.34 ± 0.04,0.31 ± 0.03,0.31 ± 0.04,0.30 ± 0.02,0.31 ± 0.04,0.35 ± 0.04,0.19 ± 0.10,0.34 ± 0.05,0.32 ± 0.04,0.32 ± 0.07,0.33 ± 0.04,0.22 ± 0.13,0.32 ± 0.04,0.31 ± 0.06,0.32 ± 0.04,0.31 ± 0.08,0.29 ± 0.08,0.33 ± 0.05,0.33 ± 0.04,0.33 ± 0.03,0.34 ± 0.04,0.29 ± 0.08,0.33 ± 0.05,0.33 ± 0.05,0.33 ± 0.05,0.33 ± 0.04,0.23 ± 0.12,0.32 ± 0.09,0.32 ± 0.05,0.33 ± 0.04,0.27 ± 0.11,0.21 ± 0.14,0.32 ± 0.05,0.31 ± 0.06,0.32 ± 0.06,0.33 ± 0.06
0.31 ± 0.03,0.33 ± 0.04,0.30 ± 0.03,0.30 ± 0.03,0.30 ± 0.03,0.30 ± 0.04,0.34 ± 0.04,0.31 ± 0.03,0.31 ± 0.03,0.31 ± 0.03,0.31 ± 0.03,0.34 ± 0.04,0.33 ± 0.04,0.33 ± 0.04,0.33 ± 0.04,0.33 ± 0.04,0.34 ± 0.04,0.32 ± 0.06,0.32 ± 0.06,0.31 ± 0.06,0.32 ± 0.06,0.33 ± 0.05,0.31 ± 0.03,0.30 ± 0.03,0.31 ± 0.03,0.30 ± 0.03,0.33 ± 0.04,0.30 ± 0.03,0.31 ± 0.03,0.31 ± 0.03,0.31 ± 0.03,0.33 ± 0.04,0.30 ± 0.03,0.30 ± 0.04,0.29 ± 0.02,0.30 ± 0.04,0.34 ± 0.04,0.18 ± 0.10,0.33 ± 0.05,0.32 ± 0.04,0.31 ± 0.07,0.32 ± 0.04,0.21 ± 0.12,0.32 ± 0.04,0.30 ± 0.06,0.31 ± 0.04,0.30 ± 0.07,0.28 ± 0.08,0.32 ± 0.04,0.32 ± 0.04,0.32 ± 0.03,0.33 ± 0.04,0.28 ± 0.08,0.32 ± 0.05,0.32 ± 0.05,0.32 ± 0.05,0.32 ± 0.04,0.22 ± 0.11,0.31 ± 0.09,0.31 ± 0.05,0.32 ± 0.04,0.27 ± 0.11,0.20 ± 0.14,0.31 ± 0.05,0.30 ± 0.05,0.31 ± 0.06,0.32 ± 0.06
0.30 ± 0.03,0.32 ± 0.04,0.30 ± 0.03,0.30 ± 0.03,0.30 ± 0.03,0.30 ± 0.04,0.33 ± 0.04,0.30 ± 0.03,0.30 ± 0.03,0.30 ± 0.03,0.30 ± 0.03,0.33 ± 0.04,0.32 ± 0.04,0.32 ± 0.04,0.32 ± 0.04,0.32 ± 0.04,0.33 ± 0.04,0.31 ± 0.06,0.31 ± 0.06,0.31 ± 0.06,0.31 ± 0.06,0.32 ± 0.05,0.30 ± 0.03,0.29 ± 0.03,0.30 ± 0.03,0.29 ± 0.03,0.32 ± 0.04,0.29 ± 0.03,0.30 ± 0.03,0.30 ± 0.03,0.30 ± 0.03,0.32 ± 0.04,0.29 ± 0.03,0.30 ± 0.04,0.28 ± 0.02,0.29 ± 0.04,0.33 ± 0.04,0.17 ± 0.10,0.32 ± 0.05,0.31 ± 0.04,0.31 ± 0.07,0.31 ± 0.04,0.21 ± 0.11,0.31 ± 0.04,0.29 ± 0.06,0.31 ± 0.04,0.29 ± 0.07,0.27 ± 0.08,0.31 ± 0.04,0.31 ± 0.04,0.32 ± 0.03,0.32 ± 0.04,0.28 ± 0.08,0.31 ± 0.05,0.31 ± 0.05,0.31 ± 0.05,0.31 ± 0.04,0.21 ± 0.11,0.30 ± 0.09,0.30 ± 0.05,0.31 ± 0.04,0.26 ± 0.11,0.20 ± 0.14,0.30 ± 0.04,0.29 ± 0.05,0.30 ± 0.05,0.31 ± 0.06
0.29 ± 0.03,0.31 ± 0.04,0.29 ± 0.03,0.29 ± 0.03,0.29 ± 0.03,0.29 ± 0.03,0.32 ± 0.04,0.29 ± 0.03,0.29 ± 0.03,0.30 ± 0.03,0.29 ± 0.03,0.32 ± 0.04,0.31 ± 0.04,0.31 ± 0.04,0.31 ± 0.04,0.31 ± 0.04,0.32 ± 0.04,0.30 ± 0.06,0.30 ± 0.06,0.30 ± 0.06,0.30 ± 0.06,0.32 ± 0.05,0.29 ± 0.03,0.29 ± 0.03,0.29 ± 0.03,0.29 ± 0.03,0.31 ± 0.04,0.29 ± 0.03,0.29 ± 0.03,0.29 ± 0.03,0.29 ± 0.03,0.31 ± 0.04,0.28 ± 0.03,0.29 ± 0.04,0.27 ± 0.02,0.28 ± 0.04,0.32 ± 0.04,0.17 ± 0.10,0.31 ± 0.05,0.30 ± 0.04,0.30 ± 0.07,0.30 ± 0.03,0.21 ± 0.11,0.30 ± 0.04,0.28 ± 0.06,0.30 ± 0.04,0.29 ± 0.07,0.26 ± 0.07,0.30 ± 0.04,0.30 ± 0.04,0.31 ± 0.03,0.31 ± 0.04,0.27 ± 0.07,0.30 ± 0.05,0.30 ± 0.05,0.31 ± 0.05,0.30 ± 0.04,0.21 ± 0.11,0.29 ± 0.09,0.29 ± 0.05,0.31 ± 0.03,0.25 ± 0.10,0.19 ± 0.13,0.30 ± 0.04,0.29 ± 0.05,0.29 ± 0.05,0.31 ± 0.06
0.28 ± 0.03,0.31 ± 0.03,0.28 ± 0.03,0.28 ± 0.03,0.28 ± 0.03,0.28 ± 0.03,0.31 ± 0.04,0.29 ± 0.03,0.29 ± 0.03,0.29 ± 0.03,0.29 ± 0.03,0.31 ± 0.04,0.30 ± 0.04,0.30 ± 0.04,0.30 ± 0.04,0.30 ± 0.04,0.31 ± 0.04,0.30 ± 0.06,0.29 ± 0.06,0.29 ± 0.06,0.29 ± 0.06,0.31 ± 0.05,0.29 ± 0.03,0.28 ± 0.03,0.28 ± 0.03,0.28 ± 0.03,0.30 ± 0.04,0.28 ± 0.03,0.28 ± 0.03,0.28 ± 0.03,0.28 ± 0.03,0.30 ± 0.04,0.28 ± 0.03,0.28 ± 0.03,0.27 ± 0.02,0.28 ± 0.03,0.31 ± 0.04,0.17 ± 0.09,0.30 ± 0.05,0.29 ± 0.03,0.29 ± 0.06,0.29 ± 0.03,0.20 ± 0.10,0.29 ± 0.04,0.28 ± 0.06,0.29 ± 0.04,0.28 ± 0.07,0.25 ± 0.07,0.30 ± 0.04,0.29 ± 0.04,0.30 ± 0.03,0.30 ± 0.04,0.26 ± 0.07,0.29 ± 0.05,0.29 ± 0.05,0.30 ± 0.05,0.30 ± 0.04,0.20 ± 0.11,0.28 ± 0.08,0.28 ± 0.05,0.30 ± 0.03,0.25 ± 0.10,0.19 ± 0.13,0.29 ± 0.04,0.28 ± 0.05,0.29 ± 0.05,0.30 ± 0.06
0.28 ± 0.03,0.30 ± 0.03,0.28 ± 0.03,0.28 ± 0.03,0.28 ± 0.03,0.27 ± 0.03,0.30 ± 0.04,0.28 ± 0.03,0.28 ± 0.03,0.28 ± 0.03,0.28 ± 0.03,0.31 ± 0.04,0.29 ± 0.03,0.29 ± 0.03,0.29 ± 0.03,0.29 ± 0.03,0.30 ± 0.04,0.29 ± 0.06,0.28 ± 0.05,0.28 ± 0.05,0.28 ± 0.05,0.30 ± 0.05,0.28 ± 0.03,0.27 ± 0.03,0.28 ± 0.03,0.27 ± 0.03,0.30 ± 0.03,0.27 ± 0.03,0.28 ± 0.03,0.28 ± 0.03,0.28 ± 0.03,0.29 ± 0.04,0.27 ± 0.03,0.28 ± 0.03,0.26 ± 0.02,0.27 ± 0.03,0.31 ± 0.04,0.17 ± 0.08,0.29 ± 0.04,0.28 ± 0.03,0.28 ± 0.06,0.29 ± 0.03,0.20 ± 0.10,0.28 ± 0.04,0.27 ± 0.06,0.28 ± 0.04,0.27 ± 0.07,0.25 ± 0.07,0.29 ± 0.04,0.29 ± 0.04,0.29 ± 0.03,0.29 ± 0.04,0.25 ± 0.07,0.29 ± 0.05,0.29 ± 0.04,0.29 ± 0.05,0.29 ± 0.04,0.20 ± 0.10,0.28 ± 0.08,0.28 ± 0.05,0.29 ± 0.03,0.24 ± 0.10,0.18 ± 0.12,0.28 ± 0.04,0.27 ± 0.05,0.28 ± 0.05,0.29 ± 0.05
0.27 ± 0.03,0.29 ± 0.03,0.27 ± 0.03,0.27 ± 0.03,0.27 ± 0.03,0.27 ± 0.03,0.29 ± 0.04,0.27 ± 0.03,0.27 ± 0.03,0.28 ± 0.03,0.27 ± 0.03,0.30 ± 0.04,0.29 ± 0.03,0.29 ± 0.03,0.29 ± 0.03,0.29 ± 0.03,0.30 ± 0.04,0.28 ± 0.05,0.28 ± 0.05,0.28 ± 0.05,0.28 ± 0.05,0.29 ± 0.05,0.27 ± 0.03,0.27 ± 0.03,0.27 ± 0.03,0.27 ± 0.03,0.29 ± 0.03,0.27 ± 0.03,0.27 ± 0.03,0.27 ± 0.03,0.27 ± 0.03,0.29 ± 0.03,0.26 ± 0.03,0.27 ± 0.03,0.25 ± 0.02,0.26 ± 0.03,0.30 ± 0.04,0.16 ± 0.08,0.29 ± 0.04,0.28 ± 0.03,0.28 ± 0.06,0.28 ± 0.03,0.20 ± 0.10,0.28 ± 0.04,0.26 ± 0.05,0.28 ± 0.04,0.26 ± 0.07,0.24 ± 0.07,0.28 ± 0.04,0.28 ± 0.04,0.28 ± 0.03,0.29 ± 0.03,0.25 ± 0.07,0.28 ± 0.05,0.28 ± 0.04,0.28 ± 0.04,0.28 ± 0.04,0.19 ± 0.10,0.27 ± 0.08,0.27 ± 0.05,0.28 ± 0.03,0.23 ± 0.10,0.18 ± 0.12,0.28 ± 0.04,0.27 ± 0.05,0.27 ± 0.05,0.28 ± 0.05
0.27 ± 0.03,0.28 ± 0.03,0.26 ± 0.03,0.26 ± 0.03,0.26 ± 0.03,0.26 ± 0.03,0.29 ± 0.04,0.27 ± 0.03,0.27 ± 0.03,0.27 ± 0.03,0.27 ± 0.03,0.29 ± 0.04,0.28 ± 0.03,0.28 ± 0.03,0.28 ± 0.03,0.28 ± 0.03,0.29 ± 0.03,0.27 ± 0.05,0.27 ± 0.05,0.27 ± 0.05,0.27 ± 0.05,0.28 ± 0.05,0.27 ± 0.03,0.26 ± 0.03,0.26 ± 0.03,0.26 ± 0.03,0.28 ± 0.03,0.26 ± 0.03,0.27 ± 0.03,0.27 ± 0.03,0.27 ± 0.03,0.28 ± 0.03,0.26 ± 0.03,0.26 ± 0.03,0.25 ± 0.02,0.26 ± 0.03,0.29 ± 0.04,0.16 ± 0.07,0.28 ± 0.04,0.27 ± 0.03,0.27 ± 0.06,0.27 ± 0.03,0.19 ± 0.09,0.27 ± 0.04,0.26 ± 0.05,0.27 ± 0.03,0.26 ± 0.06,0.23 ± 0.07,0.28 ± 0.04,0.27 ± 0.04,0.28 ± 0.03,0.28 ± 0.03,0.24 ± 0.07,0.27 ± 0.04,0.27 ± 0.04,0.28 ± 0.04,0.28 ± 0.04,0.19 ± 0.10,0.26 ± 0.08,0.26 ± 0.05,0.28 ± 0.03,0.23 ± 0.09,0.17 ± 0.12,0.27 ± 0.04,0.26 ± 0.05,0.27 ± 0.05,0.28 ± 0.05
0.26 ± 0.03,0.28 ± 0.03,0.26 ± 0.03,0.26 ± 0.03,0.26 ± 0.03,0.26 ± 0.03,0.28 ± 0.04,0.26 ± 0.03,0.26 ± 0.03,0.26 ± 0.03,0.26 ± 0.03,0.28 ± 0.04,0.27 ± 0.03,0.27 ± 0.03,0.27 ± 0.03,0.27 ± 0.03,0.28 ± 0.03,0.27 ± 0.05,0.27 ± 0.05,0.26 ± 0.05,0.26 ± 0.05,0.28 ± 0.04,0.26 ± 0.03,0.26 ± 0.03,0.26 ± 0.03,0.26 ± 0.03,0.28 ± 0.03,0.26 ± 0.03,0.26 ± 0.03,0.26 ± 0.03,0.26 ± 0.03,0.27 ± 0.03,0.25 ± 0.03,0.26 ± 0.03,0.25 ± 0.02,0.25 ± 0.03,0.28 ± 0.04,0.16 ± 0.07,0.27 ± 0.04,0.26 ± 0.03,0.26 ± 0.06,0.27 ± 0.03,0.19 ± 0.09,0.27 ± 0.04,0.25 ± 0.05,0.27 ± 0.03,0.25 ± 0.06,0.23 ± 0.07,0.27 ± 0.04,0.27 ± 0.03,0.27 ± 0.03,0.27 ± 0.03,0.24 ± 0.07,0.27 ± 0.04,0.27 ± 0.04,0.27 ± 0.04,0.27 ± 0.03,0.18 ± 0.10,0.26 ± 0.08,0.26 ± 0.04,0.27 ± 0.03,0.22 ± 0.09,0.17 ± 0.12,0.26 ± 0.04,0.25 ± 0.05,0.26 ± 0.05,0.27 ± 0.05
0.25 ± 0.03,0.27 ± 0.03,0.25 ± 0.03,0.25 ± 0.03,0.25 ± 0.03,0.25 ± 0.03,0.27 ± 0.04,0.26 ± 0.03,0.26 ± 0.03,0.26 ± 0.03,0.26 ± 0.03,0.28 ± 0.03,0.27 ± 0.03,0.27 ± 0.03,0.27 ± 0.03,0.27 ± 0.03,0.27 ± 0.03,0.26 ± 0.05,0.26 ± 0.05,0.26 ± 0.05,0.26 ± 0.05,0.27 ± 0.04,0.25 ± 0.03,0.25 ± 0.03,0.25 ± 0.03,0.25 ± 0.03,0.27 ± 0.03,0.25 ± 0.03,0.25 ± 0.03,0.25 ± 0.03,0.25 ± 0.03,0.27 ± 0.03,0.25 ± 0.03,0.25 ± 0.03,0.24 ± 0.02,0.25 ± 0.03,0.28 ± 0.03,0.16 ± 0.07,0.27 ± 0.04,0.26 ± 0.03,0.26 ± 0.06,0.26 ± 0.03,0.19 ± 0.09,0.26 ± 0.03,0.24 ± 0.05,0.26 ± 0.03,0.25 ± 0.06,0.22 ± 0.07,0.26 ± 0.04,0.26 ± 0.03,0.27 ± 0.03,0.27 ± 0.03,0.23 ± 0.06,0.26 ± 0.04,0.26 ± 0.04,0.26 ± 0.04,0.26 ± 0.03,0.18 ± 0.09,0.25 ± 0.07,0.25 ± 0.04,0.26 ± 0.03,0.22 ± 0.09,0.16 ± 0.11,0.26 ± 0.04,0.25 ± 0.04,0.26 ± 0.04,0.26 ± 0.05
