q_id,Gender,Name,NumSeasons,AvgPER,CareerPoints
1,male,Mike Conley,10,17.3,10050
1,male,Neil Johnston*,8,23.19,10023
1,male,Rex Chapman,14,13.02,10001
1,male,Antonio Davis,17,12.73,9965
1,male,Greg Ballard,11,14.55,9953
1,male,Don Kojis,12,14.7,9948
1,male,Gus Johnson*,10,16.15,9944
1,male,P.J. Brown,15,13.77,9870
1,male,Olden Polynice,19,12.0,9832
1,male,Charles Smith,23,9.41,9830
1,male,Danny Schayes,22,11.61,9777
1,male,Geoff Petrie,6,15.67,9732
1,male,Doc Rivers,15,15.59,9698
1,male,Norm Van,12,13.71,9675
1,male,Anthony Mason,13,13.82,9656
1,male,Sherman Douglas,16,14.14,9623
1,male,Trevor Ariza,17,13.84,9603
1,male,Isaiah Thomas,8,20.77,9538
1,male,Jay Humphries,15,10.95,9475
1,male,Andrei Kirilenko,13,17.19,9431
1,male,John Wall,7,19.53,9419
1,male,Kurt Thomas,20,12.8,9416
1,male,Larry Foust,10,19.5,9406
1,male,Walt Hazzard,12,13.5,9348
1,male,Kenyon Martin,15,13.66,9325
1,male,J.J. Redick,13,14.33,9314
1,male,Jim Barnett,13,13.27,9305
1,male,Yao Ming*,8,22.85,9247
1,male,George Johnson,26,12.21,9240
1,male,Al Horford,10,19.11,9240
1,male,Connie Hawkins*,9,16.31,9232
1,male,Bill Bradley*,10,12.04,9217
1,male,Dennis Scott,14,12.25,9216
1,male,James Donaldson,18,12.44,9204
1,male,Jay Vincent,13,12.72,9192
1,male,Rickey Green,16,13.97,9161
1,male,Derrick Rose,8,17.15,9155
1,male,Ramon Sessions,16,15.28,9149
1,male,Brent Barry,16,15.01,9119
1,male,Zelmo Beaty*,8,16.46,9107
1,male,Micheal Ray,10,15.85,9059
1,male,Arron Afflalo,12,11.48,9054
1,male,Rodney McCray,10,13.89,9014
1,male,Terry Dischinger,9,15.81,9012
1,male,Tyson Chandler,16,15.99,9002
1,male,Dale Davis,18,14.56,8990
1,male,Campy Russell,9,14.3,8953
1,male,Jim Fox,16,14.24,8905
1,male,Dana Barros,14,15.86,8901
